Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.156-52.222.174.75-35246-443-6,192.168.137.156,35246,52.222.174.75,443,6,22/08/2021 01:26:33 PM,2867446,13,11,906.0,11458.0,405.0,0.0,69.6923076923077,137.19717235629932,4752.0,0.0,1041.6363636363635,1515.4961743750641,4311.8510339863415,8.369817600749935,124671.56521739128,233092.97034695404,836261.0,7.0,2280379.0,190031.58333333334,317468.5390487059,836316.0,12.0,2841345.0,284134.49999999994,425926.29095974134,1230153.0,22.0,0,0,0,0,428,368,4.533651200406215,3.8361664003437204,0.0,4752.0,494.56000000000006,1100.6936101083413,1211526.423333333,0,1,0,0,0,0,0,0,0.0,515.1666666666666,69.6923076923077,1041.6363636363637,0,0,0,0,0,0,13,906,11,11458,-1,133,6,0,0,0,0,0,0,0,0,0,No Label
192.168.137.156-52.222.174.75-35246-443-6,52.222.174.75,443,192.168.137.156,35246,6,22/08/2021 01:26:36 PM,17,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176470.58823529413,8.5,7.7781745930520225,14.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,0,64,32,117647.05882352941,58823.529411764706,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,133,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.156-52.222.174.75-35252-443-6,192.168.137.156,35252,52.222.174.75,443,6,22/08/2021 01:26:33 PM,4897998,17,15,1247.0,11465.0,405.0,0.0,73.3529411764706,140.05085735924226,1983.0,0.0,764.3333333333333,676.5548934192434,2595.3460985488355,6.533281557076993,157999.935483871,346142.3836100722,1455666.0,8.0,4311082.0,269442.625,541408.8044960573,1976234.0,21.0,4888642.0,349188.7142857143,682355.2161393123,2331548.0,15.0,0,0,0,0,632,496,3.4708058271971525,3.0624757298798406,0.0,1983.0,385.21212121212125,577.7038470085557,333741.7348484848,0,1,0,0,0,0,0,0,0.0,397.25,73.3529411764706,764.3333333333334,0,0,0,0,0,0,17,1247,15,11465,-1,133,7,0,0,0,0,0,0,0,0,0,No Label
192.168.137.156-52.222.174.75-35250-443-6,192.168.137.156,35250,52.222.174.75,443,6,22/08/2021 01:26:33 PM,6330580,19,14,1732.0,12653.0,421.0,0.0,91.15789473684211,162.00111904891097,2376.0,0.0,903.7857142857143,683.9233176282297,2272.303643584,5.2127925087432745,197830.62499999997,435954.25515719113,1763739.0,7.0,5743662.0,319092.3333333333,540538.2038087812,1763739.0,16.0,6322308.0,486331.38461538457,900870.079172957,2560428.0,19.0,0,0,0,0,644,464,3.001304777761279,2.2114877309819954,0.0,2376.0,423.0882352941177,604.5415176181567,365470.4465240641,0,1,0,0,0,0,0,0,0.0,435.90909090909093,91.15789473684211,903.7857142857143,0,0,0,0,0,0,19,1732,14,12653,-1,133,8,0,0,0,0,0,0,0,0,0,No Label
192.168.137.156-52.222.174.75-35252-443-6,52.222.174.75,443,192.168.137.156,35252,6,22/08/2021 01:26:39 PM,307787,2,5,2376.0,1268.0,1188.0,1188.0,1188.0,0.0,1188.0,0.0,253.6,523.4928843833505,11839.35643805619,22.743000841491032,51297.83333333333,114807.08908323852,285380.0,13.0,11662.0,11662.0,0.0,11662.0,11662.0,307787.0,76946.75,139056.0110707792,285380.0,13.0,0,0,0,0,64,196,6.498000240426009,16.245000601065023,0.0,1188.0,604.0,624.8711867257123,390463.99999999994,0,0,0,0,1,0,0,0,2.0,690.2857142857143,1188.0,253.6,0,0,0,0,0,0,2,2376,5,1268,-1,501,2,0,0,0,0,0,0,0,0,0,No Label
192.168.137.156-52.222.174.75-35256-443-6,192.168.137.156,35256,52.222.174.75,443,6,22/08/2021 01:26:33 PM,8922446,24,19,1800.0,12681.0,405.0,0.0,74.99999999999999,139.13959208994584,1188.0,0.0,667.4210526315788,560.6203226773272,1622.9854459192018,4.819306275431647,212439.19047619042,437474.6176998403,1786617.0,7.0,8335617.0,362418.13043478265,619980.3935917728,2099826.0,116.0,8921861.0,495658.94444444455,875122.5630853741,2595981.0,25.0,0,0,0,0,792,636,2.689845363031617,2.12946091240003,0.0,1188.0,329.11363636363626,480.67927787852284,231052.56818181818,0,1,0,0,0,0,0,0,0.0,336.7674418604651,75.0,667.421052631579,0,0,0,0,0,0,24,1800,19,12681,-1,133,10,0,0,0,0,0,0,0,0,0,No Label
192.168.137.156-52.222.174.75-35250-443-6,192.168.137.156,35250,52.222.174.75,443,6,22/08/2021 01:26:40 PM,2431998,1,1,80.0,40.0,80.0,80.0,80.0,0.0,40.0,40.0,40.0,0.0,49.34214584058046,0.8223690973430077,2431998.0,0.0,2431998.0,2431998.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,0.41118454867150384,0.41118454867150384,40.0,80.0,53.333333333333336,23.094010767585033,533.3333333333334,1,0,0,1,1,0,0,0,1.0,80.0,80.0,40.0,0,0,0,0,0,0,1,80,1,40,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
192.168.137.156-52.222.174.75-35252-443-6,52.222.174.75,443,192.168.137.156,35252,6,22/08/2021 01:26:41 PM,1767600,0,3,0.0,1268.0,0,0,0,0,1188.0,0.0,422.66666666666663,664.004016052112,717.356868069699,1.6972165648336728,883800.0,1249849.419513407,1767577.0,23.0,0,0,0,0,0,1767600.0,883800.0,1249849.419513407,1767577.0,23.0,0,0,0,0,0,108,0.0,1.6972165648336728,0.0,1188.0,614.0,663.6022905325146,440368.0,0,0,0,0,1,0,0,0,0.0,818.6666666666666,0.0,422.6666666666667,0,0,0,0,0,0,0,0,3,1268,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.156-52.222.174.75-35250-443-6,52.222.174.75,443,192.168.137.156,35250,6,22/08/2021 01:26:43 PM,506516,1,2,0.0,795.0,0.0,0.0,0.0,0.0,795.0,0.0,397.5,562.1498910433053,1569.5456806892578,5.922813889393425,253258.0,358107.1582641151,506478.0,38.0,0,0,0,0,0,38.0,38.0,0.0,38.0,38.0,0,1,0,0,32,76,1.974271296464475,3.94854259292895,0.0,795.0,397.5,458.99346400575246,210675.0,0,0,0,1,1,0,0,0,2.0,530.0,0.0,397.5,0,0,0,0,0,0,1,0,2,795,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.137.156-52.222.174.75-35256-443-6,192.168.137.156,35256,52.222.174.75,443,6,22/08/2021 01:26:43 PM,1824186,2,2,80.0,67.0,80.0,0.0,40.0,56.568542494923804,40.0,27.0,33.5,9.192388155425117,80.58388782722814,2.192758852441582,608062.0,875435.255511794,1611443.0,38.0,212705.0,212705.0,0.0,212705.0,212705.0,1611443.0,1611443.0,0.0,1611443.0,1611443.0,0,1,0,0,76,64,1.096379426220791,1.096379426220791,0.0,80.0,37.4,28.875595231960155,833.8000000000001,1,0,0,1,1,0,0,0,1.0,46.75,40.0,33.5,0,0,0,0,0,0,2,80,2,67,-1,133,1,0,0,0,0,0,0,0,0,0,No Label
