2021-10-20 12:11:26 INFO  cic.cs.unb.ca.jnetpcap.worker.TrafficFlowWorker    Pcap is listening...
2021-10-20 12:57:20 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 7200 flow
2021-10-20 13:06:33 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 8350 flow
2021-10-20 13:07:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 8800 flow
2021-10-20 13:09:37 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 9000 flow
2021-10-20 13:09:37 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 9000 flow
2021-10-20 13:13:43 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 9350 flow
2021-10-20 14:52:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9459 flow
2021-10-20 14:52:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9462 flow
2021-10-20 14:52:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9462 flow
2021-10-20 14:52:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9465 flow
2021-10-20 14:52:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9465 flow
2021-10-20 14:52:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9464 flow
2021-10-20 14:52:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9463 flow
2021-10-20 14:52:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9462 flow
2021-10-20 14:52:29 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9465 flow
2021-10-20 14:53:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9487 flow
2021-10-20 14:53:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9493 flow
2021-10-20 14:53:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9502 flow
2021-10-20 14:53:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9515 flow
2021-10-20 14:53:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9515 flow
2021-10-20 14:53:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9515 flow
2021-10-20 14:53:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9517 flow
2021-10-20 14:53:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9521 flow
2021-10-20 14:53:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9530 flow
2021-10-20 14:53:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9530 flow
2021-10-20 14:53:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9529 flow
2021-10-20 14:53:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9530 flow
2021-10-20 14:53:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9530 flow
2021-10-20 14:53:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9531 flow
2021-10-20 14:53:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9533 flow
2021-10-20 14:53:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9534 flow
2021-10-20 14:53:31 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 9533 flow
